,shift,density
602,1487.6653,0
603,1492.5492,0
604,1497.4287,236
605,1502.3038,805
606,1507.1744,838
607,1512.0406,0
608,1516.9024,607
609,1521.7597,0
610,1526.6126,0
611,1531.4611,0
612,1536.3052,304
613,1541.1448,481
614,1545.98,0
615,1550.8107,0
616,1555.637,357
617,1560.4589,232
618,1565.2764,0
619,1570.0894,398
620,1574.898,0
621,1579.7022,0
622,1584.5019,0
623,1589.2972,634
624,1594.0881,368
625,1598.8746,152
626,1603.6566,0
627,1608.4342,284
628,1613.2073,0
629,1617.976,696
630,1622.7403,0
631,1627.5002,0
632,1632.2556,0
633,1637.0066,0
634,1641.7532,0
635,1646.4953,0
636,1651.233,434
637,1655.9663,0
638,1660.6951,295
639,1665.4195,0
640,1670.1395,0
641,1674.855,185
642,1679.5661,320
643,1684.2728,0
644,1688.9751,667
645,1693.6729,0
646,1698.3663,251
647,1703.0552,670
648,1707.7398,0
649,1717.0955,0
650,1721.7668,0
651,1726.4336,319
652,1731.0959,403
653,1735.7539,0
654,1740.4074,0
655,1745.0565,233
656,1749.7011,0
657,1754.3413,392
658,1758.9771,393
659,1768.2354,0
660,1772.8579,0
661,1782.0896,202
662,1786.6988,112
663,1791.3035,0
664,1795.9039,1
665,1800.4998,449
666,1805.0912,26
667,1809.6783,247
668,1814.2609,289
669,1818.8391,0
670,1823.4128,562
671,1827.9821,0
672,1832.547,0
673,1837.1075,0
674,1841.6635,0
675,1846.2151,74
676,1850.7623,0
677,1859.8433,180
678,1864.3772,0
679,1868.9066,0
680,1873.4316,0
681,1877.9522,523
682,1882.4683,451
683,1886.98,0
684,1891.4873,276
685,1895.9902,0
686,1900.4886,0
687,1904.9826,0
688,1909.4721,0
689,1913.9572,33
690,1918.4379,437
691,1922.9142,0
692,1927.386,0
693,1931.8534,342
694,1936.3164,0
695,1940.7749,0
696,1945.229,582
697,1949.6787,338
698,1954.124,0
699,1963.0012,0
700,1967.4331,562
701,1971.8606,826
702,1976.2837,0
703,1980.7024,0
704,1985.1166,0
705,1989.5264,0
706,1993.9318,0
707,1998.3327,178
708,2002.7292,513
709,2007.1213,312
710,2011.5089,0
711,2015.8921,0
712,2020.2709,11
713,2024.6452,0
714,2029.0151,0
715,2033.3806,290
716,2037.7417,0
717,2042.0983,751
718,2046.4505,429
719,2050.7983,0
720,2055.1416,98
721,2059.4805,0
722,2063.8149,1018
723,2068.145,397
724,2072.4706,0
725,2076.7918,424
726,2081.1085,625
727,2085.4208,0
728,2089.7287,282
729,2094.0321,13
730,2098.3311,0
731,2102.6257,0
732,2106.9159,0
733,2111.2016,0
734,2115.4829,0
735,2119.7598,0
736,2124.0322,109
737,2128.3002,0
738,2132.5637,36
739,2136.8229,100
740,2141.0776,0
741,2145.3279,0
742,2149.5737,256
743,2153.8151,0
744,2158.0521,661
745,2162.2846,487
746,2166.5128,0
747,2170.7364,0
748,2174.9557,0
749,2179.1705,536
750,2183.3809,0
751,2187.5869,729
752,2195.9855,93
753,2200.1782,0
754,2208.5502,548
755,2212.7296,330
756,2216.9045,0
757,2221.075,0
758,2225.2411,0
759,2229.4028,0
760,2233.56,64
761,2237.7128,413
762,2246.0051,20
763,2250.1446,163
764,2254.2796,619
765,2258.4103,53
766,2270.7756,0
767,2274.8885,47
768,2278.9969,20
769,2283.101,358
770,2287.2006,17
771,2291.2958,0
772,2295.3865,320
773,2299.4729,0
774,2303.5547,0
775,2307.6322,0
776,2311.7052,545
777,2315.7738,18
778,2319.838,0
779,2323.8977,0
780,2327.953,367
781,2332.0039,449
782,2336.0503,474
783,2340.0923,213
784,2344.1299,73
785,2348.1631,0
786,2356.2161,0
787,2360.2359,0
788,2364.2513,0
789,2368.2623,261
790,2372.2689,530
791,2376.271,0
792,2380.2687,75
793,2384.262,359
794,2388.2508,100
795,2392.2352,73
796,2396.2152,0
797,2400.1907,0
798,2404.1618,394
799,2408.1285,0
800,2412.0908,581
801,2420.002,0
802,2423.9509,180
803,2427.8954,424
804,2431.8355,0
805,2435.7712,0
806,2439.7024,0
807,2443.6292,0
808,2447.5516,0
809,2451.4695,137
810,2455.383,74
811,2459.2921,397
812,2463.1968,0
813,2467.097,0
814,2470.9927,0
815,2474.8841,362
816,2478.771,504
817,2482.6535,688
818,2486.5316,0
819,2490.4052,0
820,2494.2744,0
821,2498.1391,53
822,2501.9995,170
823,2505.8554,205
824,2509.7068,622
825,2513.5539,0
826,2517.3965,0
827,2521.2346,0
828,2525.0684,0
829,2528.8977,1130
830,2532.7226,463
831,2536.543,585
832,2540.3591,0
833,2544.1706,0
834,2547.9778,0
835,2551.7805,1541
836,2555.5788,0
837,2559.3727,132
838,2563.1621,0
839,2570.7277,0
840,2574.5038,207
841,2578.2755,0
842,2582.0428,59
843,2585.8057,423
844,2589.5641,806
845,2593.318,21
846,2597.0676,0
847,2600.8127,0
848,2604.5534,695
849,2608.2897,0
850,2612.0215,74
851,2615.7489,0
852,2619.4719,0
853,2623.1904,0
854,2626.9045,0
855,2630.6142,574
856,2634.3194,0
857,2638.0202,208
858,2641.7166,549
859,2645.4085,0
860,2649.0961,696
861,2652.7791,275
862,2656.4578,0
863,2660.132,126
864,2663.8018,0
865,2667.4672,49
866,2671.1281,0
867,2678.4367,191
868,2682.0843,605
869,2685.7275,0
870,2689.3663,0
871,2693.0006,0
872,2696.6305,317
873,2700.256,707
874,2703.877,0
875,2707.4937,0
876,2711.1058,504
877,2714.7136,135
878,2718.3169,0
879,2721.9158,0
880,2725.5103,0
881,2729.1003,388
882,2732.6859,1044
883,2736.2671,423
884,2739.8438,0
885,2743.4161,409
886,2746.984,0
887,2750.5474,283
888,2754.1064,0
889,2757.661,293
890,2761.2112,286
891,2764.7569,0
892,2768.2982,0
893,2771.835,0
894,2775.3675,191
895,2782.419,170
896,2785.9381,380
897,2789.4528,0
898,2792.9631,549
899,2796.4689,305
900,2799.9704,647
901,2803.4673,0
902,2806.9599,0
903,2810.448,456
904,2813.9317,0
905,2817.4109,110
906,2820.8857,0
907,2824.3561,120
908,2827.8221,21
909,2831.2836,437
910,2834.7407,32
911,2838.1934,419
912,2841.6416,0
913,2845.0854,92
914,2848.5248,239
915,2851.9597,14
916,2855.3902,0
917,2858.8163,673
918,2862.2379,259
919,2865.6552,170
920,2869.0679,0
921,2872.4763,619
922,2875.8802,0
923,2879.2797,642
924,2882.6748,0
925,2886.0654,446
926,2889.4516,1090
927,2892.8333,0
928,2896.2107,0
929,2899.5836,647
930,2906.3161,0
931,2909.6757,0
932,2913.0309,209
933,2916.3816,354
934,2919.7279,0
935,2923.0698,64
936,2926.4073,0
937,2929.7403,0
938,2933.0689,349
939,2936.3931,400
940,2939.7128,14
941,2943.0281,0
942,2946.3389,0
943,2949.6454,1068
944,2952.9474,801
945,2956.245,1573
946,2959.5381,3251
947,2962.8268,6021
948,2966.1111,9188
949,2969.3909,9878
950,2972.6664,8243
951,2975.9373,6806
952,2979.2039,4689
953,2982.466,2944
954,2985.7237,1595
955,2988.977,943
956,2992.2258,293
957,2995.4702,380
958,2998.7102,679
959,3001.9457,0
960,3005.1768,0
961,3008.4035,68
962,3011.6257,374
963,3014.8435,0
964,3018.0569,0
965,3021.2659,0
966,3024.4704,641
967,3027.6705,0
968,3030.8661,0
969,3034.0574,643
970,3037.2442,0
971,3040.4265,0
