Frequency	Channel A
(MHz)	(dBu)

0.36239624	-71.08073000
0.36334991	-69.63174000
0.36430359	-66.04582000
0.36525726	-70.14758000
0.36621094	-76.61131000
0.36716461	-75.91962000
0.36811829	-67.78594000
0.36907196	-64.08228000
0.37002563	-71.12828000
0.37097931	-65.64376000
0.37193298	-64.26790000
0.37288666	-61.74534000
0.37384033	-62.67594000
0.37479401	-70.09515000
0.37574768	-78.53215000
0.37670135	-73.42626000
0.37765503	-72.36477000
0.37860870	-67.36835000
0.37956238	-63.60898000
0.38051605	-63.06802000
0.38146973	-61.97204000
0.38242340	-60.26298000
0.38337708	-61.72118000
0.38433075	-64.89069000
0.38528442	-63.38785000
0.38623810	-61.88711000
0.38719177	-65.48341000
0.38814545	-73.46803000
0.38909912	-69.58701000
0.39005280	-71.19975000
0.39100647	-67.93745000
0.39196014	-67.16119000
0.39291382	-76.87051000
0.39386749	-64.04446000
0.39482117	-62.64315000
0.39577484	-68.26936000
0.39672852	-82.80979000
0.39768219	-94.80258000
0.39863586	-71.12281000
0.39958954	-69.54097000
0.40054321	-76.27332000
0.40149689	-68.38927000
0.40245056	-69.90031000
0.40340424	-68.41686000
0.40435791	-68.41707000
0.40531158	-70.35773000
0.40626526	-64.72853000
0.40721893	-65.17903000
0.40817261	-72.46301000
0.40912628	-68.19987000
0.41007996	-67.16922000
0.41103363	-66.74812000
0.41198730	-69.40118000
0.41294098	-76.66994000
0.41389465	-69.83806000
0.41484833	-76.19077000
0.41580200	-69.16454000
0.41675568	-65.41203000
0.41770935	-71.36556000
0.41866302	-77.88036000
0.41961670	-74.40685000
0.42057037	-68.84960000
0.42152405	-66.30270000
0.42247772	-68.98254000
0.42343140	-80.76163000
0.42438507	-82.15981000
0.42533875	-75.48707000
0.42629242	-67.17815000
0.42724609	-65.57831000
0.42819977	-72.74838000
0.42915344	-73.05184000
0.43010712	-76.56725000
0.43106079	-84.25905000
0.43201447	-87.28481000
0.43296814	-78.27412000
0.43392181	-76.33052000
0.43487549	-74.47392000
0.43582916	-72.20393000
0.43678284	-74.00888000
0.43773651	-73.28553000
0.43869019	-68.20956000
0.43964386	-68.54011000
0.44059753	-71.45750000
0.44155121	-73.95478000
0.44250488	-74.34663000
0.44345856	-64.66382000
0.44441223	-65.26780000
0.44536591	-66.72627000
0.44631958	-69.39963000
0.44727325	-69.42777000
0.44822693	-68.22346000
0.44918060	-72.03958000
0.45013428	-77.41750000
0.45108795	-80.27019000
0.45204163	-73.71899000
0.45299530	-68.27882000
0.45394897	-67.00027000
0.45490265	-65.47202000
0.45585632	-66.35889000
0.45681000	-71.72385000
0.45776367	-85.54782000
0.45871735	-75.00268000
0.45967102	-76.30157000
0.46062469	-74.22652000
0.46157837	-71.19736000
0.46253204	-71.98560000
0.46348572	-71.80839000
0.46443939	-71.40715000
0.46539307	-70.37816000
0.46634674	-69.65512000
0.46730042	-73.05218000
0.46825409	-71.98029000
0.46920776	-67.27549000
0.47016144	-67.30293000
0.47111511	-67.75994000
0.47206879	-68.37987000
0.47302246	-69.36969000
0.47397614	-67.98538000
0.47492981	-68.36991000
0.47588348	-68.78474000
0.47683716	-71.52343000
0.47779083	-69.33063000
0.47874451	-68.38111000
0.47969818	-82.47662000
0.48065186	-71.72211000
0.48160553	-71.26306000
0.48255920	-71.53645000
0.48351288	-72.13265000
0.48446655	-71.98727000
0.48542023	-73.19266000
0.48637390	-74.55031000
0.48732758	-71.55255000
0.48828125	-69.87263000
0.48923492	-82.34032000
0.49018860	-73.04221000
0.49114227	-69.50302000
0.49209595	-65.67953000
0.49304962	-69.42276000
0.49400330	-77.85970000
0.49495697	-92.06987000
0.49591064	-75.79903000
0.49686432	-79.69153000
0.49781799	-78.32838000
0.49877167	-71.31717000
0.49972534	-71.54050000
0.50067902	-77.47707000
0.50163269	-69.78600000
0.50258636	-71.04559000
0.50354004	-72.06853000
0.50449371	-71.04408000
0.50544739	-69.50404000
0.50640106	-71.89707000
0.50735474	-78.95486000
0.50830841	-81.40351000
0.50926208	-89.43932000
0.51021576	-73.81732000
0.51116943	-68.31201000
0.51212311	-69.80490000
0.51307678	-75.74213000
0.51403046	-82.29166000
0.51498413	-83.44415000
0.51593781	-72.03938000
0.51689148	-68.16327000
0.51784515	-71.15555000
0.51879883	-78.90556000
0.51975250	-71.69847000
0.52070618	-75.78370000
0.52165985	-88.19545000
0.52261353	-75.54585000
0.52356720	-71.26763000
0.52452087	-74.78603000
0.52547455	-70.81874000
0.52642822	-77.39983000
0.52738190	-74.86990000
0.52833557	-72.39401000
0.52928925	-79.49965000
0.53024292	-73.91787000
0.53119659	-74.62971000
0.53215027	-86.59978000
0.53310394	-80.39819000
0.53405762	-77.99967000
0.53501129	-78.02016000
0.53596497	-68.60054000
0.53691864	-65.53903000
0.53787231	-67.57780000
0.53882599	-68.34750000
0.53977966	-70.27665000
0.54073334	-74.93340000
0.54168701	-71.89614000
0.54264069	-75.42764000
0.54359436	-76.42818000
0.54454803	-69.68745000
0.54550171	-71.90461000
0.54645538	-80.63511000
0.54740906	-81.37985000
0.54836273	-70.07458000
0.54931641	-66.92841000
0.55027008	-67.23955000
0.55122375	-72.71911000
0.55217743	-76.06144000
0.55313110	-73.10651000
0.55408478	-74.11514000
0.55503845	-79.30106000
0.55599213	-85.44578000
0.55694580	-69.55745000
0.55789948	-71.17294000
0.55885315	-79.74787000
0.55980682	-79.47410000
0.56076050	-76.18036000
0.56171417	-72.15466000
0.56266785	-68.61411000
0.56362152	-69.76404000
0.56457520	-71.58822000
0.56552887	-70.95023000
0.56648254	-79.08700000
0.56743622	-73.34834000
0.56838989	-72.46114000
0.56934357	-72.25344000
0.57029724	-69.72342000
0.57125092	-69.60657000
0.57220459	-71.87856000
0.57315826	-72.60140000
0.57411194	-75.02603000
0.57506561	-80.48280000
0.57601929	-79.21050000
0.57697296	-75.56805000
0.57792664	-71.45020000
0.57888031	-72.34094000
0.57983398	-74.15388000
0.58078766	-65.65540000
0.58174133	-67.78172000
0.58269501	-79.32090000
0.58364868	-73.45900000
0.58460236	-75.47503000
0.58555603	-75.51241000
0.58650970	-72.34916000
0.58746338	-76.89492000
0.58841705	-76.09039000
0.58937073	-74.98824000
0.59032440	-70.29100000
0.59127808	-70.94431000
0.59223175	-82.71637000
0.59318542	-70.66924000
0.59413910	-69.02650000
0.59509277	-74.08881000
0.59604645	-83.96582000
0.59700012	-72.93290000
0.59795380	-77.37489000
0.59890747	-80.94110000
0.59986115	-76.45253000
0.60081482	-82.59876000
0.60176849	-77.72567000
0.60272217	-85.72069000
0.60367584	-73.48795000
0.60462952	-68.49284000
0.60558319	-68.31084000
0.60653687	-73.66248000
0.60749054	-77.03603000
0.60844421	-72.21062000
0.60939789	-73.67859000
0.61035156	-78.72015000
0.61130524	-74.81713000
0.61225891	-74.32908000
0.61321259	-74.98071000
0.61416626	-73.58189000
0.61511993	-72.10616000
0.61607361	-69.60326000
0.61702728	-68.60646000
0.61798096	-70.24382000
0.61893463	-72.63146000
0.61988831	-75.71608000
0.62084198	-76.57033000
0.62179565	-77.68224000
0.62274933	-84.23257000
0.62370300	-76.03310000
0.62465668	-77.55762000
0.62561035	-73.64901000
0.62656403	-69.76049000
0.62751770	-72.18246000
0.62847137	-73.59629000
0.62942505	-71.06427000
0.63037872	-73.21398000
0.63133240	-78.27055000
0.63228607	-82.40425000
0.63323975	-73.68246000
0.63419342	-69.38818000
0.63514709	-69.21529000
0.63610077	-71.18954000
0.63705444	-74.38210000
0.63800812	-75.89868000
0.63896179	-74.14911000
0.63991547	-71.62156000
0.64086914	-72.81650000
0.64182281	-69.92616000
0.64277649	-70.13201000
0.64373016	-76.35938000
0.64468384	-80.20179000
0.64563751	-74.21085000
