,,,-749.000012875E-3,1.1999999,,,,,-749.000012875E-3,3.99999976,
,,,-748.000025749E-3,1.1999999,,,,,-748.000025749E-3,3.59999990,
,,,-747.000038624E-3,1.1999999,,,,,-747.000038624E-3,3.39999986,
,,,-745.999991894E-3,1.1999999,,,,,-745.999991894E-3,2.99999976,
,,,-745.000004768E-3,1.1999999,,,,,-745.000004768E-3,2.5999999,
,,,-744.000017643E-3,1.1999999,,,,,-744.000017643E-3,2.1999998,
,,,-743.000030518E-3,1.2800000,,,,,-743.000030518E-3,1.8000000,
,,,-741.999983788E-3,1.1999999,,,,,-741.999983788E-3,1.5999999,
,,,-740.999996662E-3,1.2800000,,,,,-740.999996662E-3,999.999940395E-3,
,,,-740.000009537E-3,1.2800000,,,,,-740.000009537E-3,399.99997616E-3,
,,,-739.000022411E-3,1.2800000,,,,,-739.000022411E-3,-199.99998808E-3,
,,,-738.000035286E-3,1.2800000,,,,,-738.000035286E-3,-799.999952316E-3,
,,,-736.999988556E-3,1.2800000,,,,,-736.999988556E-3,-1.5999999,
,,,-736.000001431E-3,1.2800000,,,,,-736.000001431E-3,-2.3999999,
,,,-735.000014305E-3,1.2800000,,,,,-735.000014305E-3,-3.39999986,
,,,-734.000027180E-3,1.2800000,,,,,-734.000027180E-3,-4.19999981,
,,,-732.999980450E-3,1.2800000,,,,,-732.999980450E-3,-5.19999981,
,,,-731.999993324E-3,1.2800000,,,,,-731.999993324E-3,-5.99999952,
,,,-731.000006199E-3,1.2800000,,,,,-731.000006199E-3,-6.99999952,
,,,-730.000019073E-3,1.2800000,,,,,-730.000019073E-3,-8.199999809,
,,,-729.000031948E-3,1.2800000,,,,,-729.000031948E-3,-9.199999809,
,,,-727.999985218E-3,1.1999999,,,,,-727.999985218E-3,-9.999999046,
,,,-726.999998093E-3,1.2800000,,,,,-726.999998093E-3,-10.7999992,
,,,-726.000010967E-3,1.2800000,,,,,-726.000010967E-3,-11.7999992,
,,,-725.000023842E-3,1.2800000,,,,,-725.000023842E-3,-12.5999994,
,,,-724.000036716E-3,1.2800000,,,,,-724.000036716E-3,-13.1999989,
,,,-722.999989986E-3,1.2800000,,,,,-722.999989986E-3,-13.9999990,
,,,-722.000002861E-3,1.2800000,,,,,-722.000002861E-3,-14.5999994,
,,,-721.000015736E-3,1.2800000,,,,,-721.000015736E-3,-14.9999990,
,,,-720.000028610E-3,1.2800000,,,,,-720.000028610E-3,-15.5999994,
,,,-718.999981880E-3,1.2800000,,,,,-718.999981880E-3,-15.9999990,
,,,-717.999994755E-3,1.2800000,,,,,-717.999994755E-3,-16.1999989,
,,,-717.000007629E-3,1.2800000,,,,,-717.000007629E-3,-16.7999992,
,,,-716.000020504E-3,1.2800000,,,,,-716.000020504E-3,-16.5999985,
,,,-715.000033379E-3,1.2800000,,,,,-715.000033379E-3,-16.9999981,
,,,-713.999986649E-3,1.2800000,,,,,-713.999986649E-3,-16.7999992,
,,,-712.999999523E-3,1.2800000,,,,,-712.999999523E-3,-16.9999981,
,,,-712.000012398E-3,1.2800000,,,,,-712.000012398E-3,-16.7999992,
,,,-711.000025272E-3,1.2800000,,,,,-711.000025272E-3,-16.9999981,
,,,-709.999978542E-3,1.2800000,,,,,-709.999978542E-3,-16.5999985,
,,,-708.999991417E-3,1.2800000,,,,,-708.999991417E-3,-16.7999992,
,,,-708.000004292E-3,1.2800000,,,,,-708.000004292E-3,-16.3999996,
,,,-707.000017166E-3,1.3600000,,,,,-707.000017166E-3,-16.1999989,
,,,-706.000030041E-3,1.2800000,,,,,-706.000030041E-3,-15.9999990,
,,,-704.999983311E-3,1.3600000,,,,,-704.999983311E-3,-15.5999994,
,,,-703.999996185E-3,1.3600000,,,,,-703.999996185E-3,-15.1999989,
,,,-703.000009060E-3,1.3600000,,,,,-703.000009060E-3,-14.7999992,
,,,-702.000021935E-3,1.3600000,,,,,-702.000021935E-3,-14.3999996,
,,,-701.000034809E-3,1.2800000,,,,,-701.000034809E-3,-13.9999990,
,,,-699.999988079E-3,1.2800000,,,,,-699.999988079E-3,-13.3999996,
,,,-699.000000954E-3,1.3600000,,,,,-699.000000954E-3,-12.9999990,
,,,-698.000013828E-3,1.2800000,,,,,-698.000013828E-3,-12.5999994,
,,,-697.000026703E-3,1.2800000,,,,,-697.000026703E-3,-11.9999990,
,,,-695.999979973E-3,1.3600000,,,,,-695.999979973E-3,-11.1999989,
,,,-694.999992847E-3,1.3600000,,,,,-694.999992847E-3,-10.5999994,
,,,-694.000005722E-3,1.3600000,,,,,-694.000005722E-3,-10.1999998,
,,,-693.000018597E-3,1.3600000,,,,,-693.000018597E-3,-9.599999428,
,,,-692.000031471E-3,1.3600000,,,,,-692.000031471E-3,-8.799999237,
,,,-690.999984741E-3,1.3600000,,,,,-690.999984741E-3,-8.399999619,
,,,-689.999997616E-3,1.3600000,,,,,-689.999997616E-3,-7.999999523,
,,,-689.000010490E-3,1.3600000,,,,,-689.000010490E-3,-7.19999981,
,,,-688.000023365E-3,1.3600000,,,,,-688.000023365E-3,-6.79999971,
