Time	Channel A
(us)	(mV)

1.15999991	-14.06422000
1.16399991	5.27408100
1.16799991	23.78220000
1.17199991	35.99072000
1.17599991	38.87193000
1.17999990	31.25381000
1.18399990	15.28507000
1.18799990	-4.68807200
1.19199990	-23.09852000
1.19599990	-35.30704000
1.19999990	-37.89525000
1.20399990	-29.93530000
1.20799990	-13.57588000
1.21199990	6.59260200
1.21599990	25.49139000
1.21999990	37.45574000
1.22399990	39.75095000
1.22799990	31.40032000
1.23199990	14.69906000
1.23599990	-5.76242200
1.23999990	-24.80772000
1.24399990	-36.91857000
1.24799990	-38.77427000
1.25199990	-30.17946000
1.25599990	-13.03870000
1.25999990	7.76462000
1.26399990	26.80991000
1.26799990	38.92076000
1.27199990	40.77646000
1.27599990	31.83982000
1.27999990	14.21072000
1.28399990	-6.93444000
1.28799990	-26.17507000
1.29199990	-38.09059000
1.29599990	-39.84861000
1.29999990	-30.42364000
1.30399990	-12.45269000
1.30799990	8.88780400
1.31199990	28.37260000
1.31599990	40.19045000
1.31999990	41.60664000
1.32399990	31.88866000
1.32799990	13.72238000
1.33199990	-8.05762500
1.33599990	-27.54242000
1.33999990	-39.65328000
1.34399990	-40.77646000
1.34799990	-30.81431000
1.35199990	-12.01319000
1.35599990	10.05982000
1.35999990	29.64229000
1.36399990	41.50897000
1.36799990	42.63216000
1.37199990	32.03516000
1.37599990	13.18520000
1.37999990	-8.98547200
1.38399990	-29.00745000
1.38799990	-40.67879000
1.39199990	-41.55780000
1.39599990	-30.52130000
1.39999990	-11.52484000
1.40399990	11.08534000
1.40799990	30.96081000
1.41199990	42.53448000
1.41599990	43.16933000
1.41999990	32.23050000
1.42399990	12.74570000
1.42799990	-10.01099000
1.43199990	-30.13063000
1.43599990	-42.04615000
1.43999990	-42.19265000
1.44399990	-30.96081000
1.44799990	-11.08534000
1.45199990	12.11085000
1.45599990	32.27933000
1.45999990	43.85301000
1.46399990	44.14602000
1.46799990	32.57233000
1.47199990	12.25736000
1.47599990	-11.18301000
1.47999990	-31.64449000
1.48399990	-42.97400000
1.48799990	-43.12050000
1.49199990	-31.10731000
1.49599990	-10.45049000
1.49999990	13.23404000
1.50399990	33.54902000
1.50799990	44.97620000
1.51199990	44.82969000
1.51599990	32.62117000
1.51999990	11.52484000
1.52399990	-12.25736000
1.52799990	-32.96301000
1.53199989	-44.34135000
1.53599989	-43.90184000
1.53999989	-31.30265000
1.54399989	-9.91332000
1.54799989	14.25955000
1.55199989	34.91637000
1.55599989	46.29471000
1.55999989	45.56220000
1.56399989	32.67001000
1.56799989	11.03650000
1.57199989	-13.23404000
1.57599989	-34.18386000
1.57999989	-45.41570000
1.58399989	-44.34135000
1.58799989	-31.15615000
1.59199989	-9.13197400
1.59599989	15.43157000
1.59999989	36.23489000
1.60399989	47.27139000
1.60799989	46.00171000
1.61199989	32.57233000
1.61599989	10.45049000
1.61999989	-14.30839000
1.62399989	-35.25821000
1.62799989	-46.68539000
1.63199989	-45.17153000
1.63599989	-31.25381000
1.63999989	-8.64363300
1.64399989	16.60359000
1.64799989	37.45574000
1.65199989	48.58992000
1.65599989	46.88072000
1.65999989	32.62117000
1.66399989	9.52264700
1.66799989	-15.62691000
1.67199989	-36.72323000
1.67599989	-47.51556000
1.67999989	-45.65987000
1.68399989	-31.10731000
1.68799989	-7.81345300
1.69199989	17.72677000
1.69599989	38.53009000
1.69999989	49.51776000
1.70399989	47.32023000
1.70799989	32.57233000
1.71199989	9.08314000
1.71599989	-16.60359000
1.71999989	-37.84642000
1.72399989	-48.83409000
1.72799989	-46.00171000
1.73199989	-31.00964000
1.73599989	-7.17861100
1.73999989	18.80112000
1.74399989	39.89745000
1.74799989	50.59211000
1.75199989	47.71090000
1.75599989	32.23050000
1.75999989	8.35062900
1.76399989	-17.97094000
1.76799989	-39.06727000
1.77199989	-49.76193000
1.77599989	-46.29471000
1.77999989	-30.71664000
1.78399989	-6.29959700
1.78799989	19.92431000
1.79199989	40.97180000
1.79599989	51.47113000
1.79999989	48.10157000
1.80399989	32.03516000
1.80799989	7.37394700
1.81199989	-18.94762000
1.81599989	-40.23929000
1.81999989	-50.34794000
1.82399989	-46.83189000
1.82799989	-30.42364000
1.83199989	-5.56708600
1.83599989	21.29166000
1.83999989	42.14381000
1.84399989	52.30131000
1.84799989	48.24808000
1.85199989	31.74216000
1.85599989	6.64143600
1.85999989	-20.02198000
1.86399989	-41.41130000
1.86799989	-51.17812000
1.87199989	-47.02723000
1.87599989	-30.03296000
1.87999989	-4.59040400
1.88399988	22.26834000
1.88799988	43.26700000
1.89199988	53.08265000
1.89599988	48.44341000
1.89999988	31.40032000
1.90399988	5.61592000
1.90799988	-21.34050000
1.91199988	-42.53448000
1.91599988	-52.10597000
1.91999988	-47.17373000
1.92399988	-29.54462000
1.92799988	-3.80905900
1.93199988	23.48919000
1.93599988	44.43902000
1.93999988	53.81516000
1.94399988	48.73642000
1.94799988	30.91198000
1.95199988	4.78574000
1.95599988	-22.51251000
1.95999988	-43.75534000
1.96399988	-52.78965000
1.96799988	-47.22256000
1.97199988	-29.15395000
1.97599988	-2.49053800
1.97999988	24.56355000
1.98399988	45.61103000
1.98799988	54.45000000
1.99199988	48.73642000
1.99599988	30.27713000
1.99999988	3.85789300
2.00399988	-23.58686000
2.00799988	-44.58552000
2.01199988	-53.13148000
2.01599988	-47.41790000
2.01999988	-28.56794000
2.02399988	-1.61152500
2.02799988	25.93090000
2.03199988	46.53888000
2.03599988	55.03601000
2.03999988	48.88292000
2.04399988	29.64229000
2.04799988	2.68587500
2.05199988	-24.85655000
2.05599988	-45.51337000
2.05999988	-53.86399000
2.06399988	-47.32023000
2.06799988	-28.07960000
2.07199988	-0.58600900
2.07599988	27.05408000
2.07999988	47.56440000
2.08399988	55.57319000
2.08799988	48.54108000
2.09199988	29.05628000
2.09599988	1.75802700
2.09999988	-26.07740000
2.10399988	-46.68539000
2.10799988	-54.20583000
2.11199988	-47.27139000
2.11599988	-27.10292000
2.11999988	0.39067270
2.12399988	27.93310000
2.12799988	48.54108000
2.13199988	56.01270000
2.13599988	48.58992000
2.13999988	28.51911000
2.14399988	0.83017950
2.14799988	-27.24942000
2.15199988	-47.32023000
2.15599988	-54.84068000
2.15999988	-47.17373000
2.16399988	-26.46807000
2.16799988	1.56269100
2.17199988	29.49579000
2.17599988	49.32243000
2.17999988	56.54987000
2.18399988	48.29691000
2.18799988	27.59126000
2.19199988	-0.63484310
2.19599988	-28.22610000
2.19999988	-48.34575000
2.20399988	-55.28018000
2.20799988	-46.88072000
2.21199988	-25.78440000
2.21599988	2.49053800
2.21999988	30.32597000
2.22399988	50.20144000
2.22799988	56.94054000
2.23199988	48.19924000
2.23599988	26.95642000
2.23999987	-1.46502300
2.24399987	-29.54462000
2.24799987	-49.22476000
2.25199987	-55.71969000
2.25599987	-46.88072000
2.25999987	-24.80772000
2.26399987	3.76022500
2.26799987	31.49799000
2.27199987	51.08046000
2.27599987	57.33121000
2.27999987	47.71090000
2.28399987	26.02857000
2.28799987	-2.68587500
2.29199987	-30.52130000
2.29599987	-50.15260000
2.29999987	-55.91503000
2.30399987	-46.29471000
2.30799987	-24.12404000
2.31199987	4.83457400
2.31599987	32.67001000
2.31999987	51.86180000
2.32399987	57.52655000
2.32799987	47.46673000
2.33199987	25.34489000
2.33599987	-3.90672700
2.33999987	-31.64449000
2.34399987	-50.98278000
2.34799987	-56.20803000
2.35199987	-46.14821000
2.35599987	-23.19619000
2.35999987	6.00659300
2.36399987	33.79319000
